visited,region1,line,area_ja,area_ko,name_ko,naver_url,google_url,address_road,address_lot,menu,source,notes
,釜山,１号線,南浦,,어머니간장게장,https://naver.me/FhUz2Mtv,https://maps.app.goo.gl/bPVVKXUXGT7DYN9SA,부산 중구 대청로137번길 8-2 문화빌딩 1층 어머니간장게장,부산 중구 중앙동3가 13-3,カンジャンケジャン定食,どすこい,どすこい推薦店
,釜山,１号線,南浦,,청기와개미집,https://naver.me/G4WbpXEv,,부산 중구 백산길 16,부산 중구 동광동3가 24-1,韓牛焼肉 ナクチ・鮑も,,昔からのお勧め店 肉&サンナクチ
,釜山,１号線,南浦,,산청돼지국밥,https://naver.me/Gj6XOitk,,부산 중구 대청로134번길 18,부산 중구 동광동3가 15-2,テジクッパ,,
,釜山,１号線,南浦,,물레방아 즉석구이,https://naver.me/xJiB2giK,,부산 중구 중앙대로41번길 11-1,부산 중구 중앙동1가 24-14,焼肉,ヒョンム計画,ヒョンム計画 チュウォンと 안금무(アンコミ:サガリ) テンジャンチゲ絶品！
,釜山,１号線,南浦,,섬진강재첩국,https://naver.me/Gxk1B59j,,부산 중구 광복로85번길 15-1,부산 중구 동광동2가 10-4,シジミ汁定食(재첩국정식）,隣の国のグルメイト,ミチョッタ
TRUE,釜山,１号線,南浦,,제주가본점,https://naver.me/5CW4UDPL,,부산 중구 광복로85번길 8,부산 중구 광복동1가 5-22,鮑がゆ,,昔から日本人にも有名 
TRUE,釜山,１号線,南浦,,할매가야밀면,https://naver.me/FTXwcWeX,,부산 중구 광복로 56-14,부산 중구 남포동2가 17-1,ミルミョン,,釜山人は皆知ってるミルミョン 맛집 少し漢方的
,釜山,１号線,南浦,,개미집 광복동본점,https://naver.me/FEUscZuH,,부산 중구 광복로55번길 14 2층 개미집 광복직영점,부산 중구 창선동1가 9-3,ナッコプセ,,有名なナッコプセ店の本店
,釜山,１号線,南浦,,1984이바구밀면 남포점,https://naver.me/xKERgsMJ,,부산 중구 남포길 5-1 1층,부산 중구 남포동3가 6-2,ミルミョン,草薙チャンネル,草薙チャンネル 
,釜山,１号線,南浦,,돌고래순두부,https://naver.me/5GpYyjNN,,부산 중구 중구로40번길 15,부산 중구 신창동2가 12-5,純豆腐,ヒョンム計画,ヒョンム計画？ YT絶賛
,釜山,１号線,南浦,,신창토스트,https://naver.me/5l7vp9lW,,부산 중구 광복로39번길 21-1,부산 중구 신창동2가 29-3,トースト,,昔から有名
,釜山,１号線,南浦,,여송제,https://naver.me/5fIpOZxZ,,부산 중구 광복로18번길 5,부산 중구 부평동1가 37-10,チョッパル,ヒョンム計画,ヒョンム計画  めずらしい冷製チョッパル：厚切&野菜やクラゲと
,釜山,１号線,南浦,,부평양곱창,https://naver.me/GfCsAZyr,,부산 중구 부평2길 17,부산 중구 부평동2가 24-2,コプチャン（内臓）,どすこい,どすこい推薦店
,釜山,１号線,南浦,,고소한맛은 코심 깡통시장본점,https://naver.me/G4WCt2GK,,부산 중구 중구로33번길 33-1 1층,부산 중구 부평동2가 20-14,黒豆コングクス/エゴマカルグクス/小豆粥,,黒豆ムルもあるので本格的？ 緑豆やかぼちゃ粥も。
,釜山,１号線,南浦,,이가네떡볶이,https://naver.me/xdpF8G4E,,부산 중구 부평1길 48,부산 중구 부평동2가 16,トッポッキ,各メディア,メディアによく出てる
,釜山,１号線,南浦,,장우손부산어묵 깡통시장본점,https://naver.me/GI3Jdlrn,,부산 중구 중구로43번길 19-1 장우손 부산어묵,부산 중구 부평동1가 19-2,おでん 油揚げ(유부）,ヒョンム計画,S社社長訪問 クァクチューブ推薦 100%練物 
,釜山,１号線,南浦,,원조최가네돼지국밥,https://naver.me/xNLXEzg4,,부산 중구 흑교로31번길 7,부산 중구 부평동3가 72-3,テジクッパ  カムジャタンもあり,,釜山のグルメですかいわのお勧め
,釜山,１号線,南浦,,신창국밥 본점,https://naver.me/xk1XUtEk,,부산 서구 보수대로 53,부산 서구 토성동1가 4-1,テジクッパ,隣の国のグルメイト,ミチョッタ絶賛クッパ　サムソン社長来店
,釜山,１号線,南浦,,원조 73년 3대 엄마집숯불꼼장어,https://naver.me/FZ27FRra,,부산 중구 자갈치해안로 47-2,부산 중구 남포동5가 113-5,ヌタウナギ（꼼장어）,,
,釜山,１号線,釜山駅,,평산옥,https://naver.me/GBFHNQRm,,부산 동구 초량중로 26,부산 동구 초량동 591-11,茹で肉(수육）열무국수(3-11月),バトルトリップ,シンドン推薦　スユク1人前から超安 バトルトリップ
,釜山,１号線,釜山駅,,안목 부산역점,https://naver.me/GreX0O8L,,부산 동구 중앙대로214번길 3-10 1층,부산 동구 초량동 1200-4,テジクッパ,草薙チャンネル,草薙チャンネル （番組では西面店に行ってた）
,釜山,１号線,太宗台,,왔다식당,https://naver.me/F74VaAV7,,부산 영도구 하나길 811,부산 영도구 청학동 386-197,スジ（韓牛）,ヒョンム計画,ヒョンム計画 韓牛スジ テンジャン鍋お勧め 14時まで
,釜山,１号線,太宗台,,감성조개,https://naver.me/5tJtdOya,,부산 영도구 태종로 824 감성조개,부산 영도구 동삼동 984-4,貝焼き 海鮮カルグクス,バトルトリップ,バトルトリップ　シンドン推薦店
,釜山,１号線,太宗台,,어콩,https://naver.me/GmbcQIS4,,부산 영도구 동삼서로 51-4,부산 영도구 동삼동 219-42,コングクス,,豆の専門店のよう。とても濃厚そう。
TRUE,釜山,１号線,凡一,,조방낙지 범일직영점,https://naver.me/5ZJprC6F,,부산 동구 조방로 21,부산 동구 범일동 830-61,ナクチ料理,,以前からの有名店っぽい
